@RELATION data
@ATTRIBUTE class {0, 1}
@ATTRIBUTE tem_link BOOLEAN
@ATTRIBUTE tamanho NUMERIC
@DATA
0,True,5247
0,False,2035
1,True,9235
0,False,3831
0,False,1478
1,False,2304
1,False,3336
1,False,2419
1,False,3409
1,False,7354
1,False,5877
0,True,12093
1,False,2814
0,True,39515
0,False,5709
0,False,21388
1,True,3099
1,False,2500
1,True,7153
1,False,5232
1,False,5789
0,True,9029
0,True,2355
1,False,8923
0,True,7197
1,False,1271
1,True,25491
0,True,11140
1,False,2918
1,False,6292
1,False,6277
0,False,2575
1,False,10188
0,True,9415
1,False,5660
1,False,6111
1,False,1433
1,False,1189
0,False,9962
1,False,6664
0,False,11259
0,True,3217
0,True,4038
1,False,4973
0,True,17056
1,True,15786
1,False,2094
1,False,4585
1,False,2657
1,False,5706
0,True,6122
1,False,3909
1,False,5068
1,False,3311
0,False,4093
1,False,3371
1,False,1160
1,False,4911
1,False,5809
0,True,8880
0,False,4746
1,False,5947
1,False,7072
1,False,2736
1,False,2446
0,True,2591
1,False,4121
0,False,2518
0,False,4264
1,False,1233
1,False,3158
1,False,6418
0,True,9497
0,False,9011
1,True,6970
0,True,5615
0,False,2014
1,False,2321
1,False,4220
1,False,5164
0,True,3926
1,False,2897
0,True,5032
1,False,4263
1,False,3281
1,False,3775
1,False,2595
1,False,4325
1,False,1394
1,False,5011
1,False,984
1,False,3772
0,False,5272
0,True,24773
1,False,7203
1,False,5682
1,False,3113
0,True,2401
1,False,11395
0,True,2746
0,False,6397
1,False,5520
1,False,5034
1,False,2862
0,True,8462
0,True,6125
1,False,4141
0,True,6117
0,True,5465
1,True,32837
0,True,22043
1,True,6414
1,False,4214
1,False,5536
0,True,6278
1,False,3621
0,False,10740
1,False,1375
1,False,3393
1,False,4330
0,False,2147
0,False,1839
0,True,43734
0,False,3159
0,False,4776
1,False,2858
1,False,6644
1,False,7650
1,False,7082
1,True,5868
1,False,4963
1,False,2974
0,True,4397
1,False,3570
1,False,3777
1,False,3197
1,False,7441
0,True,8481
1,False,6089
1,False,3882
1,False,15120
1,False,5947
0,True,11018
1,False,5380
0,True,6761
1,True,6717
0,False,2009
1,False,8890
1,False,2394
1,False,6423
1,False,5235
0,False,1978
1,False,5221
0,True,7124
1,False,5130
0,False,2186
1,True,6178
1,False,5384
1,False,1091
1,False,6209
1,False,2790
1,False,2576
1,True,4895
0,True,6224
1,False,6785
1,False,7782
0,True,15962
1,False,5518
1,False,3552
1,False,4905
0,True,9364
1,False,3734
1,False,5548
1,False,5121
1,False,3347
1,False,3737
0,False,2289
1,False,3202
1,False,3167
1,False,3652
1,False,3392
1,False,4242
1,False,5885
1,False,4122
1,False,3272
1,False,6437
1,False,5137
0,True,2166
0,True,4583
1,False,2729
0,True,5487
1,False,2678
1,False,5951
0,False,6854
0,True,8252
1,False,5237
1,False,6705
1,False,5876
0,False,868
0,True,2930
0,True,9778
0,False,6066
0,False,2073
1,False,4739
1,False,6567
1,False,2986
1,False,4145
1,False,3902
0,True,16928
1,False,3802
1,False,4985
1,True,30157
1,False,1121
0,False,2017
1,False,4840
0,False,6516
0,False,2908
0,True,2405
0,False,4069
1,True,7010
0,True,5636
0,True,8434
1,False,11312
0,False,4983
0,False,7644
1,False,5432
0,True,10520
0,True,2915
1,False,1300
1,True,7698
0,False,8102
0,True,3419
1,False,7897
1,False,3396
1,False,2942
0,True,2882
1,False,5735
1,False,3227
1,False,6318
1,False,6451
1,False,2993
1,False,4720
0,False,17406
1,False,2498
1,False,3235
1,False,2534
1,False,4708
1,False,6950
0,False,2129
1,True,5782
1,True,24629
1,False,5698
1,False,5768
1,False,8961
0,False,5690
0,False,5923
1,False,5621
0,True,5863
0,True,7974
1,False,1465
0,True,4227
1,False,3008
1,False,13671
1,True,7374
1,False,5156
0,True,14723
1,False,2502
0,True,10989
1,False,5226
1,False,4015
1,False,6675
1,False,2424
1,False,4034
0,True,11720
1,False,1471
1,False,6207
1,True,9009
1,False,3818
0,True,1842
1,False,5682
1,False,7184
0,True,11953
0,False,2363
1,False,3323
1,False,4695
0,False,8221
0,False,3145
0,True,2754
0,False,5171
0,False,5925
1,False,2932
0,True,11534
1,False,6005
1,False,1797
1,False,6153
0,False,11274
1,False,3701
1,False,2558
0,True,2025
1,False,5887
1,False,4037
1,False,3289
1,False,6113
0,True,9200
1,False,6645
1,False,741
0,True,9165
1,False,4853
0,False,1851
0,False,1502
0,False,7482
1,False,5940
0,True,2147
1,False,4812
0,True,5087
0,True,6637
1,False,4578
1,True,34765
0,True,8212
0,True,12411
1,False,1191
0,False,3795
0,True,6722
1,False,1716
0,False,5864
1,False,6004
1,False,6793
1,False,1839
0,True,6773
1,False,3966
1,False,3477
1,False,8657
1,False,1144
1,True,7087
1,False,8381
1,False,15650
0,False,3639
1,False,6845
0,True,5708
1,False,7821
1,False,5662
1,False,2598
1,False,5907
1,False,4852
0,True,3681
1,False,4994
1,False,1342
1,False,3416
1,True,8466
1,False,6945
1,False,5854
1,False,4434
1,False,1300
0,False,2877
0,True,8801
0,True,11493
0,False,5435
1,False,3537
1,False,25630
1,False,7656
0,False,2134
0,False,1775
1,False,25143
1,True,6139
1,False,5857
0,True,3475
1,True,4901
1,False,7570
1,False,5229
1,False,4521
1,False,2414
0,True,5923
1,False,5758
1,False,7890
0,False,2117
1,False,4960
1,False,5296
1,True,6214
1,False,7809
0,True,7153
0,True,4962
1,True,5926
1,False,7044
1,False,1510
0,True,5932
0,False,2887
0,False,7657
1,False,2766
1,False,4687
1,False,3194
0,False,4819
1,False,3280
0,False,4822
1,False,6626
0,True,7343
1,True,8138
1,True,2784
1,False,5530
1,False,7777
1,False,6129
0,False,8808
1,False,4151
1,True,3225
1,False,2664
0,True,7592
1,False,8137
1,False,7050
1,False,8249
0,False,11407
1,False,5788
0,True,6082
1,False,36872
1,False,5656
1,False,1358
1,False,4760
1,False,5547
1,False,4894
1,False,3474
1,False,1112
0,False,6008
0,True,6701
1,False,3078
1,False,1114
0,False,1982
1,False,5042
1,False,3062
0,True,9290
0,False,5499
1,False,6178
1,False,3336
1,False,3355
1,False,5395
0,True,43502
1,False,1117
